SCHEM_term	CHEBIID	CHEBI_name
Diazepam	49575	diazepam
Diazinon	34682	diazinon
Diazoxide	4495	diazoxide
Dibenzoylmethane	75417	dibenzoylmethane
Diclofenac	47381	diclofenac
Dicumarol	4513	dicoumarol
DIDS	4286	4,4'-diisothiocyano-trans-stilbene-2,2'-disulfonic acid
Diethyl maleate	68508	diethyl maleate
Diethyl pyrocarbonate	59051	diethyl pyrocarbonate
Diethyl sulfide	27710	diethyl sulfide
Diethylene glycol	46807	diethylene glycol
Diethylhexyl phthalate	17747	bis(2-ethylhexyl) phthalate
Diethylnitrosamine	34873	N-nitrosodiethylamine
Diethylstilbestrol	41922	diethylstilbestrol
Digoxin	4551	digoxin
Dihydrocapsaicin	46932	dihydrocapsaicin
dihydroceramide	31488	dihydroceramide
Dihydrofolate	15633	dihydrofolic acid
Dihydrolipoamide	17694	dihydrolipoamide
Dihydrosphingosine 1-phosphate	16893	sphinganine 1-phosphate
Dihydrouracil	15901	5,6-dihydrouracil
Dihydroxyacetone phosphate	16108	glycerone phosphate
Dihydroxyphenylethylene glycol	1387	3,4-dihydroxyphenylethyleneglycol
Dimethyl sulfide	17437	dimethyl sulfide
Dimethyl sulfoxide	28262	dimethyl sulfoxide
Dimethylformamide	17741	N,N-dimethylformamide
Dimethylglycine	17724	N,N-dimethylglycine
Dimethylnitrosamine	35807	N-nitrosodimethylamine
Dimethyltelluride	4613	dimethyl telluride
Dinitrochlorobenzene	34718	1-chloro-2,4-dinitrobenzene
Dinoprost	15553	prostaglandin F2alpha
Dinoprostone	15551	prostaglandin E2
Diosgenin	4629	diosgenin
Diphenhydramine	4636	diphenhydramine
Diphosphate	18361	diphosphate(4-)
Dipyridamole	4653	dipyridamole
Diquat	64163	diquat
Disulfiram	4659	disulfiram
Dithiothreitol	18320	1,4-dithiothreitol
DMPPO	63412	dimethoxyphenylpenicilloyl group
Dobutamine	4670	dobutamine
Docebenone	2340	docebenone
Docetaxel	4672	docetaxel anhydrous
Docosahexaenoic acid	36005	docosahexaenoic acid
Dolichol	16091	dolichol
Dopamine	59905	dopaminium(1+)
Dorzolamide	4702	dorzolamide
Doxazosin	4708	doxazosin
Doxorubicin	28748	doxorubicin
Doxycycline	50845	doxycycline
Dronabinol	66964	Delta(9)-tetrahydrocannabinol
Dutasteride	521033	dutasteride
E 64	30270	E64
Eckol	65819	eckol
Edetic acid	42191	ethylenediaminetetraacetic acid
Eflornithine	41948	2-(difluoromethyl)ornithine
EGFR inhibitor	74440	epidermal growth factor receptor antagonist
Eicosanoid	23899	icosanoid
Eicosapentaenoic acid	36006	icosapentaenoic acid
Eicosatrienoic Acid	53460	all-cis-icosa-11,14,17-trienoic acid
Emetine	4781	emetine
Emodin	42223	emodin
Enalapril	4784	enalapril
Enalaprilat	4786	enalaprilat (anhydrous)
Entacapone	4798	entacapone
Epinephrine	28918	(R)-adrenaline
Epirubicin	47898	4'-epidoxorubicin
Epoprostenol	15552	prostaglandin I2
Epoxomicin	42265	epoxomicin
Eptifibatide	291902	eptifibatide
Ergocalciferol	28934	vitamin D2
Ergosterol	16933	ergosterol
Erlotinib	114785	erlotinib
Erythromycin	48923	erythromycin
Estradiol	16469	17beta-estradiol
Estradiol-17beta	16469	17beta-estradiol
Estradiol-17beta-glucuronide	791	17beta-estradiol 17-glucosiduronic acid
Estriol	27974	estriol
Estrogens	50114	estrogen
Estrone	17263	estrone
Estrone 3-sulfate	17474	estrone 3-sulfate
Ethacrynic acid	4876	ethacrynic acid
Ethane	6015	isoflurane
Ethanol	16236	ethanol
Ethinyl estradiol	4903	17alpha-ethynylestradiol
Ethylene	18153	ethene
Ethylene glycol	30742	ethylene glycol
Ethylene oxide	27561	oxirane
Ethylmaleimide	44485	N-ethylmaleimide
Etodolac	4909	etodolac
Etoposide	4911	etoposide
Etoricoxib	6339	etoricoxib
Etretinate	4913	etretinate
Eugenol	4917	eugenol
Everolimus	68478	everolimus
Exemestane	4953	exemestane
Exendin-4	64073	exendin-4
Exisulind	64212	sulindac sulfone
Famotidine	4975	famotidine
Farnesol	28600	farnesol
Farnesyl pyrophosphate	17407	2-trans,6-trans-farnesyl diphosphate
Fatty acids	35366	fatty acid
Fatty acyl CoA	37554	fatty acyl-CoA
Fenfluramine	5000	fenfluramine
Fenofibrate	5001	fenofibrate
Fenoldopam	5002	fenoldopam
Fenretinide	42588	4-hydroxyphenyl retinamide
Ferric ammonium citrate	31604	ferric ammonium citrate
Ferric sulfate	53438	iron(3+) sulfate
Finasteride	5062	finasteride
Fisetin	42567	fisetin
Flavonoid	72544	flavonoids
Flavoprotein	5086	flavoprotein
Floxuridine	60761	5-fluoro-2'-deoxyuridine
Fluconazole	46081	fluconazole
Fluoride	17051	fluoride
Fluorouracil	46345	5-fluorouracil
Fluoxetine	5118	fluoxetine
Flurbiprofen	5130	flurbiprofen
Flutamide	5132	flutamide
Fluticasone	5134	fluticasone
Fluticasone propionate	31441	fluticasone propionate
Fluvastatin	38562	fluvastatin
FMLP	53490	N-formyl-L-methionyl-L-leucyl-L-phenylalanine
FMN	58210	FMN(3-)
Folic acid	27470	folic acid
Formaldehyde	16842	formaldehyde
Formate	15740	formate
Formestane	75172	formestane
Formic acid, ion(1-)	15740	formate
Formoterol	5147	formoterol
Formycin B	42654	formycin B
Formyl-coenzyme A	15522	formyl-CoA
free radical	26519	radical
Fructosamine	24103	fructosamine
Fructose	28645	beta-D-fructofuranose
Fructose-6-phosphate	15946	D-fructose 6-phosphate
Fucose	33984	fucose
Fulvestrant	31638	fulvestrant
Fumagillin	42601	fumagillin-2-yl group
Fumonisin B1	38221	fumonisin B1
Furosemide	47426	furosemide
Gabapentin	42797	gabapentin
Gadolinium	33375	gadolinium atom
Galactosamine	60312	2-amino-2-deoxy-D-galactopyranose
Galactose	28260	galactose
Galactose-1-phosphate	17973	alpha-D-galactose 1-phosphate
Galactosylceramide	18390	D-galactosyl-N-acylsphingosine
Galacturonic acid	33830	galacturonic acid
Galangin	5262	galangin
Gamma-aminobutyric acid	16865	gamma-aminobutyric acid
gamma-Glutamylcysteine	17515	L-gamma-glutamyl-L-cysteine
gamma-Tocopherol	18185	gamma-tocopherol
Gamolenic acid	28661	gamma-linolenic acid
Ganciclovir	465284	ganciclovir
Ganglioside	28892	ganglioside
Gastrin	75436	gastrin
GDP	58189	GDP(3-)
GDPmannose	15820	GDP-alpha-D-mannose
Gefitinib	49668	gefitinib
Geldanamycin	5292	geldanamycin
Gemcitabine	175901	gemcitabine
Gemfibrozil	5296	gemfibrozil
Genistein	28088	genistein
Gentamicin	17833	gentamycin
Geraniol	17447	geraniol
Geranyl diphosphate	17211	geranyl diphosphate
Geranylgeraniol	24229	geranylgeraniol
Geranylgeranyl pyrophosphate	48861	2-trans,6-trans,10-trans-geranylgeranyl diphosphate
Ginsenoside	74978	ginsenoside
Gliotoxin	5385	gliotoxin
Glucagon	5391	glucagon
Glucan	37163	glucan
Glucocorticoid	24261	glucocorticoid
Glucosamine	5417	glucosamine
Glucosamine 6-phosphate	15873	alpha-D-glucosamine 6-phosphate
Glucuronic acid	24298	glucuronic acid
Glutamine	28300	glutamine
Glutaric acid	17859	glutaric acid
Glutathione	57925	glutathionate(1-)
Glyburide	5441	glyburide
Glyceraldehyde	17378	D-glyceraldehyde
Glyceraldehyde 3-phosphate	17138	glyceraldehyde 3-phosphate
Glyceride	47778	glyceride
Glycerin	17754	glycerol
Glycerol	17754	glycerol
Glycerol-3-phosphate	15978	sn-glycerol 3-phosphate
Glycerophosphoric acid	15978	sn-glycerol 3-phosphate
Glycine	15428	glycine
Glycochenodeoxycholic acid	36274	glycochenodeoxycholic acid
Glycocholic acid	17687	glycocholic acid
Glycocyamine	16344	guanidinoacetic acid
Glycodeoxycholate	27471	glycodeoxycholic acid
Glycogen	28087	glycogen
glycoprotein	17089	glycoprotein
Glycosaminoglycan	18085	glycosaminoglycan
Glycyrrhizin	15939	glycyrrhizinic acid
GM3	15681	alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide
Go 6976	51913	Goe 6976
Gold	30050	gold(0)
GTP	15996	GTP
Guanidine	42820	guanidine
Guanine	16235	guanine
Guanosine	16750	guanosine
Guanosine 3',5'-bis(diphosphate)	58215	guanosine 3',5'-bis(diphosphate)(6-)
Guanosine diphosphate	17552	GDP
Guanosine triphosphate	15996	GTP
Gulonic acid	16154	L-gulonic acid
GW501516	73726	GW 501516
H2O	29375	diprotium oxide
Halide	16042	halide anion
Haloperidol	5613	haloperidol
Halothane	5615	halothane
Hematin	36161	hematin
Heme	17627	ferroheme b
Hemin	50385	hemin
Hemoglobin	35143	hemoglobin
heparan sulfate proteoglycan	24499	heparan sulfate proteoglycan
Heparin	28304	heparin
Heparitin sulfate	28815	heparan sulfate
Herbimycin	5674	herbimycin
Hesperetin	28230	hesperetin
Hexadecanal	17600	hexadecanal
Hexanoyl-coenzyme A	27540	hexanoyl-CoA
Hg2+	16793	mercury(2+)
Higenamine	18418	(RS)-norcoclaurine
Hippuric acid	18089	N-benzoylglycine
Hispidin	36332	hispidin
Histamine	18295	histamine
Histidine	27570	histidine
Histone Deacetylase Inhibitor	61115	histone deacetylase inhibitor
Homocysteine	17230	homocysteine
Homocysteine thiolactone	60315	L-homocysteine thiolactone
Homoharringtonine	71019	omacetaxine mepesuccinate
Hyaluronic acid	16336	hyaluronic acid
Hydracrylic acid	33404	3-hydroxypropionic acid
Hydralazine	5775	hydralazine
Hydrazine	15571	hydrazine
Hydrochloric acid	17883	hydrogen chloride
Hydrocortisone	17650	cortisol
Hydrogen	49637	hydrogen atom
Hydrogen bromide	47266	hydrogen bromide
Hydrogen peroxide	16240	hydrogen peroxide
Hydrogen sulfide	16136	hydrogen sulfide
Hydroquinone	17594	hydroquinone
Hydroxide ion	16234	hydroxide
Hydroxocobalamin	27786	hydroxocobalamin
Hydroxycoumarin	37912	hydroxycoumarin
Hydroxyl radical	29191	hydroxyl
Hydroxymethylbilane	16645	preuroporphyrinogen
Hydroxyprogesterone	17252	17alpha-hydroxyprogesterone
Hydroxyproline	18095	trans-4-hydroxy-L-proline
Hydroxyurea	44423	hydroxyurea
Hyperforin	5834	hyperforin
Hypochlorous acid	24757	hypochlorous acid
Hypoxanthine	17368	hypoxanthine
Icatibant	68556	icatibant
Ici 118551	73289	ICI 118551
Icosapent	28364	all-cis-5,8,11,14,17-icosapentaenoic acid
Iloprost	63916	iloprost
Imatinib	45783	imatinib
Imatinib mesylate	31690	imatinib methanesulfonate
Imipramine	47499	imipramine
Imiquimod	36704	imiquimod
Immucillin-H	43362	immucillin H
Indinavir	44032	indinavir
Indole-3-carbinol	24814	indole-3-methanol
Indoleacetaldehyde	24823	indoleacetaldehyde
Indomethacin	49662	indomethacin
Inosine	17596	inosine
Inosine monophosphate	17202	IMP
Inositol	24848	inositol
Inositol 1,4,5-trisphosphate	16595	1D-myo-inositol 1,4,5-trisphosphate
Inositol 2-monophosphate	62383	1D-myo-inositol 2-phosphate
Inositol 3,4-bisphosphate	28858	1D-myo-inositol 3,4-bisphosphate
Insulin	5931	insulin (human)
Iodine	24859	iodine atom
Iodocyanopindolol	73370	iodocyanopindolol
Iodotyrosine	24865	iodotyrosine
Ionomycin	63954	ionomycin
Irbesartan	5959	irbesartan
Iron	18248	iron atom
Isethionic acid	1157	isethionic acid
Isocitric acid	151	D-threo-isocitric acid
Isoflavone	18220	isoflavone
Isoflurane	6015	isoflurane
Isoflurophate	17941	diisopropyl fluorophosphate
Isoleucine	24898	isoleucine
Isopentenyl pyrophosphate	128769	isopentenyl diphosphate(3-)
Isopropyl alcohol	17824	propan-2-ol
Isoproterenol	64317	isoprenaline
Isosorbide dinitrate	6061	isosorbide dinitrate
Isotretinoin	6067	isotretinoin
Kainic acid	31746	kainic acid
Kempferol	28499	kaempferol
Keratan sulfate	60924	keratan sulfate
Ketamine	6121	ketamine
Ketanserin	6123	ketanserin
Ketone Body	73693	ketone body
Kojic acid	43572	kojic acid
Kynurenine	28683	kynurenine
L-3-Amino-isobutanoate	18188	(S)-3-aminoisobutyrate
L-Arabinose	17535	L-arabinopyranose
L-Arginine	16467	L-arginine
L-Asparagine	50347	L-asparagine residue
L-Aspartate	29991	L-aspartate(1-)
L-Aspartic acid	17053	L-aspartic acid
L-Citrulline	16349	L-citrulline
L-Cysteine	17561	L-cysteine
L-Glutamate	29985	L-glutamate(1-)
L-Glutamic acid	29972	L-glutamic acid residue
L-Glutamic acid, ion(1-)	29985	L-glutamate(1-)
L-Glutamine	30011	L-glutamine residue
L-Lactic acid	422	(S)-lactic acid
L-serine	29999	L-serine residue
L-Sulforaphane	47808	(R)-sulforaphane
Lactacystin	52722	lactacystin
Lactic acid	28358	lactic acid
Lactose	36218	beta-lactose
Lanosterol	16521	lanosterol
Lapatinib	49603	lapatinib
Latrunculin B	49703	latrunculin B
Lauric acid	30805	lauric acid
Lauroyl-coenzyme A	15521	lauroyl-CoA
Lead	25016	lead atom
Lecithin	73001	1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine
Leflunomide	6402	leflunomide
Leptomycin B	52646	leptomycin B
Letrozole	6413	letrozole
Leucine	15603	L-leucine
Leucovorin	15640	5-formyltetrahydrofolic acid
Leukotriene	25029	leukotriene
Leukotriene A4	15651	leukotriene A4
Leukotriene B4	15647	leukotriene B4
Leukotriene C4	16978	leukotriene C4
Leukotriene D4	63166	leukotriene D4(1-)
Leukotriene E4	15650	leukotriene E4
Leuprolide	6427	leuprolide
Levetiracetam	6437	levetiracetam
Levisoprenaline	6257	L-isoprenaline
Levocarnitine	16347	(R)-carnitine
Levodopa	15765	L-dopa
Levothyroxine	18332	L-thyroxine
Licoisoflavone A	28620	licoisoflavone A
Linoleic acid	17351	linoleic acid
Linolenic acid	27432	alpha-linolenic acid
Liothyronine	18258	3,3',5-triiodo-L-thyronine
lipid	18059	lipid
Lipid hydroperoxide	61051	lipid hydroperoxide
Lipids	18059	lipid
Lipoamide	17460	lipoamide
Lipopolysaccharide	16412	lipopolysaccharide
lipoprotein	6495	lipoprotein
Lipoteichoic acid	28640	lipoteichoic acid
Lipoxin	6497	lipoxin
Lipoxin A4	67026	lipoxin A4(1-)
Liraglutide	71193	liraglutide
Lithium	30145	lithium atom
Lithium chloride	48607	lithium chloride
Lithocholic acid	16325	lithocholic acid
Long-chain fatty acid	15904	long-chain fatty acid
Lonidamine	50138	lonidamine
Loperamide	6532	loperamide
Losartan	6541	losartan
Lovastatin	40303	lovastatin
Loxapine	50841	loxapine
Luteolin	15864	luteolin
LY 294002	65329	LY294002
Lycopene	15948	lycopene
Lysine	25094	lysine
lysophosphatidic acid	16975	1-acyl-sn-glycerol 3-phosphate
Lysophosphatidylcholines	60479	lysophosphatidylcholine
Lysophosphatidylserine	68510	lysophosphatidylserine
Lysophospholipid	16961	monoacylglycerol phosphate
Magnesium	25107	magnesium atom
Malathion	6651	malathion
Malic acid	6650	malic acid
Malondialdehyde	566274	malonaldehyde
Malonyl coenzyme A	15531	malonyl-CoA
Maltose	18167	alpha-maltose
Manganese	18291	manganese atom
Mannitol	29864	mannitol
Mannose	37684	mannose
Marimastat	50662	marimastat
Medium-chain fatty acid	59554	medium-chain fatty acid
Medroxyprogesterone	6715	medroxyprogesterone
Medroxyprogesterone acetate	6716	medroxyprogesterone acetate
Megestrol acetate	6723	megestrol acetate
Melagatran	43966	melagatran
Melatonin	16796	melatonin
Memantine	64312	memantine
Menadione	28869	menadione
Mercaptoethanol	41218	mercaptoethanol
Mercuric chloride	31823	mercury dichloride
Mercury	25195	mercury atom
Metformin	6801	metformin
Methamphetamine	6809	methamphetamine
Methanesulfonate	25224	methanesulfonate
Methionine	16643	L-methionine
Methionine sulfoxide	49033	methionine S-oxide
Methionine sulfoximine	47833	methionine sulfoximine
Methotrexate	44185	methotrexate
Methyl alcohol	17790	methanol
Methyl methanesulfonate	25255	methyl methanesulfonate
Methyl palmitate	69187	Methyl palmitate
Methylamine	16830	methylamine
Methylcholanthrene	34342	3-methylcholanthrene
Methyldopa anhydrous	61058	alpha-methyl-L-dopa
Methyleugenol	4918	O-methyleugenol
Methylmercury II	49747	methylmercury(1+)
Methylnitronitrosoguanidine	21759	N-methyl-N'-nitro-N-nitrosoguanidine
Methylnitrosourea	50102	N-methyl-N-nitrosurea
Methylphenazonium methosulfate	8055	5-methylphenazinium methyl sulfate
Methylphenidate	6887	methylphenidate
Methylprednisolone	6888	6alpha-methylprednisolone
Methyltestosterone	27436	methyltestosterone
Methylthioethanol	63861	2-methylthioethanol
Metribolone	379896	17beta-hydroxy-17-methylestra-4,9,11-trien-3-one
Metronidazole	6909	metronidazole
Metyrapone	44241	metyrapone
Mevalonate	25350	mevalonate
Mevalonic acid	25351	mevalonic acid
Miconazole	6923	miconazole
Mifepristone	50692	mifepristone
Milrinone	50693	milrinone
Minocycline	50694	minocycline
Minoxidil	6942	minoxidil
Misoprostol	63610	misoprostol
Mitomycin	25357	mitomycin
mitomycin C	27504	mitomycin C
Mitoxantrone	50729	mitoxantrone
Molybdate	36264	molybdate
Molybdenum	28685	molybdenum atom
Molybdenum cofactor	60525	molybdenum cofactor(2-)
Mono-(2-ethylhexyl)phthalate	17243	mono(2-ethylhexyl) phthalate
Monoacylglycerol	17408	monoglyceride
Monocrotaline	6980	monocrotaline
Monorden	556075	radicicol
Montelukast	50730	montelukast
Morin	75092	morin
Morphine	17303	morphine
Motexafin gadolinium	50161	motexafin gadolinium
mTOR inhibitor	68481	mTOR inhibitor
Mucopolysaccharide	37395	mucopolysaccharide
Mycophenolic acid	168396	mycophenolic acid
myo-Inositol polyphosphate	18087	myo-inositol polyphosphate
Myricetin	18152	myricetin
Myristic acid	28875	myristic acid
Myxothiazol	25461	myxothiazol
N,N'-Dimethylarginine	25682	N(omega),N'(omega)-dimethyl-L-arginine
N,N-Dimethylarginine	17929	N(omega),N(omega)-dimethyl-L-arginine
N-acetyl-d-galactosamine	28037	N-acetyl-D-galactosamine
N-Acetyl-D-glucosamine 6-phosphate	15784	N-acetyl-D-glucosamine 6-phosphate
N-Acetylmannosamine	63153	N-acetyl-D-mannosamine
N-Acetylputrescine	17768	N-acetylputrescine
N-acetylsphingosine	46979	N-acetylsphingosine
N-Carbamoyl-beta-alanine	18261	N-carbamoyl-beta-alanine
N-Formylmethionine leucyl-phenylalanine	53490	N-formyl-L-methionyl-L-leucyl-L-phenylalanine
N-Hydroxy-4-aminobiphenyl	16580	N-hydroxy-4-aminobiphenyl
N-Methylaspartate	31882	N-methyl-D-aspartic acid
N-Methylhistamine	29009	N(tele)-methylhistamine
N-Methylnicotinamide	64399	N-methylnicotinamide
N-Methylputrescine	17166	N-methylputrescine
N1-Acetylspermidine	17927	N(1)-acetylspermidine
N1-Acetylspermine	17312	N(1)-acetylspermine
N4-Acetylaminobutanal	7386	4-acetamidobutanal
N6,N6,N6-Trimethyl-L-lysine	17311	N(6),N(6),N(6)-trimethyl-L-lysine
NAD	13389	NAD
NAD+	15846	NAD(+)
NADH	57945	NADH(2-)
Nadide	15846	NAD(+)
NADP	25523	NADP
NADP+	18009	NADP(+)
NADPH	57783	NADPH(4-)
Naphthalene	16482	naphthalene
Naringenin	17846	(S)-naringenin
Nedaplatin	31898	nedaplatin
Neomycin	7507	neomycin
Neurotensin	7542	neurotensin
NH4+	28938	ammonium
Niacin	15940	nicotinic acid
Niacinamide	17154	nicotinamide
Nickel	28112	nickel atom
Nicotine	17688	(S)-nicotine
Nifedipine	7565	nifedipine
Nigericin	7569	nigericin
Nimesulide	44445	nimesulide
Nimodipine	7575	nimodipine
Nitrate(1-)	17632	nitrate
Nitric oxide	16480	nitric oxide
Nitrite(1-)	16301	nitrite
Nitrogen	17997	dinitrogen
Nitrogen dioxide	33101	nitrogen dioxide
Nitrogen oxides	35196	nitrogen oxide
Nitroglycerin	28787	nitroglycerin
Nitrosamines	35803	nitrosamine
Nitrous oxide	17045	dinitrogen oxide
NNK (carcinogen)	32692	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one
Nocodazole	34892	nocodazole
Nonivamide	46936	nonivamide
Nordihydroguaiaretic acid	7625	nordihydroguaiaretic acid
Norepinephrine	18357	(R)-noradrenaline
Norethindrone	7627	norethisterone
Nornicotine	28313	nornicotine
Novobiocin	71339	novobiocin(1-)
NS 398	73458	NS-398
Nucleotide	36976	nucleotide
Nutlin 3	46742	Nutlin-3
O-Acylcarnitine	17387	O-acylcarnitine
o-Phthalaldehyde	70851	phthalaldehyde
Ochratoxin A	7719	ochratoxin A
Octadecadienoic acid	25627	octadecadienoic acid
Octadecanoic acid, ion(1-)	25629	stearate
Octanoic acid, ion(1-)	25646	caprylate
Octanoyl-coenzyme A	15533	octanoyl-CoA
Octreotide	7726	octreotide
Okadaic acid	44658	okadaic acid
Olanzapine	7735	olanzapine
Oleic acid	16196	oleic acid
Oleoyl-CoA	15534	oleoyl-CoA
Oleoyl-coenzyme A	15534	oleoyl-CoA
Oligomycin	25675	oligomycin
Oligosaccharide	50699	oligosaccharide
omega-N-Methylarginine	28229	N(omega)-methyl-L-arginine
Omeprazole	7772	omeprazole
Organic anion	25696	organic anion
Ornithine	18257	ornithine
Oroxylin A	61668	oroxylin A
ortho-Vanadate	46442	vanadate(3-)
Orthocresol	28054	o-cresol
Orthophosphate	18367	phosphate(3-)
Ouabain	472805	ouabain
Oxalacetic acid	30744	oxaloacetic acid
Oxalic acid	16995	oxalic acid
Oxaliplatin	31941	oxaliplatin
Oxaloacetate	16452	oxaloacetate(2-)
Oxandrolone	7820	oxandrolone
Oxazepam	7823	oxazepam
Oxazolone	53076	4-(ethoxymethylene)-2-phenyloxazol-5-one
oxidized Thioredoxin	18191	thioredoxin disulfide
Oxiglutatione	17858	glutathione disulfide
Oxotremorine M	38322	oxotremorine M
Oxygen	25805	oxygen atom
Oxyhemoglobin	7861	oxyhemoglobin
Oxypurinol	28315	alloxanthine
Oxysterol	53030	oxysterol
Oxytetracycline	27701	oxytetracycline
Oxytocin	7872	oxytocin
Ozone	25812	ozone
p-Chloromercuribenzoic acid	28420	p-chloromercuribenzoic acid
Paclitaxel	45863	paclitaxel
Palmitate	7896	palmitate
Palmitic acid	15756	palmitic acid
Palmitoleic acid	28716	palmitoleic acid
Palmitoleoyl-CoA	53152	palmitoleoyl-CoA
Palmitoyl coenzyme A	15525	palmitoyl-CoA
Palmitoyl-CoA	15525	palmitoyl-CoA
Paraoxon	27827	paraoxon
Paraquat	34905	paraquat
Parecoxib	73038	parecoxib
Paricalcitol	7931	paricalcitol
Paroxetine	7936	paroxetine
Parthenolide	7939	parthenolide
PD 123319	61014	PD123319
Pentane	37830	pentane
Pentobarbital	7983	pentobarbital
Peptide	16670	peptide
Peptidoglycan	8005	peptidoglycan
Perfluorodecanoic acid	35546	perfluorodecanoic acid
Perfluorooctanoic acid	35549	perfluorooctanoic acid
Perindopril	8024	perindopril
Peroxynitrite	25941	peroxynitrite
Phenacetin	8050	phenacetin
Phenethyl isothiocyanate	351346	phenethyl isothiocyanate
Phenethylamine	18397	2-phenylethylamine
Phenformin	8064	phenformin
Phenobarbital	8069	phenobarbital
Phenol	15882	phenol
Phenolphthalein	34914	phenolphthalein
Phenyl acetate	8082	phenyl acetate
Phenylacetaldehyde	16424	phenylacetaldehyde
Phenylacetic acid	30745	phenylacetic acid
Phenylalanine	28044	phenylalanine
Phenylephrine	8093	phenylephrine
Phenylhydrazine	27924	phenylhydrazine
Phenylmethylsulfonyl fluoride	8102	phenylmethanesulfonyl fluoride
Phenytoin	8107	phenytoin
Phlorhizin	8113	phlorizin
Phorbol	8116	phorbol
Phorbol 12,13-dibutyrate	17598	phorbol 12,13-dibutanoate
Phorone	35572	phorone
Phosphate	18367	phosphate(3-)
Phosphatidate	57739	phosphatidate(2-)
Phosphatidic acid	16337	phosphatidic acid
Phosphatidylethanolamine	44887	(S)-1,2-distearoylphosphatidylethanolaminium
phosphatidylinositol	28874	phosphatidylinositol
Phosphatidylinositol 3-phosphate	26034	phosphatidylinositol 3-phosphate
Phosphatidylinositol-3,4,5-trisphosphate	16618	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate
phosphatidylserine	18303	phosphatidyl-L-serine
Phosphocreatine	17287	N-phosphocreatine
Phosphoenolpyruvate	58702	phosphonatoenolpyruvate
phosphoethanolamine	17553	O-phosphoethanolamine
Phospholipid	16247	phospholipid
Phosphoramidon	8164	phosphoramidon
Phosphoserine	37712	O-phosphoserine
Phthalic acid	29069	phthalic acid
Phytanic acid	16285	phytanic acid
Phytic acid	17401	myo-inositol hexakisphosphate
phytoceramide	31998	phytoceramide
Phytosphingosine	46961	phytosphingosine
Piceatannol	28814	piceatannol
Picolinic acid	28747	picolinic acid
Pilocarpine	8207	(+)-pilocarpine
Pimagedine	40618	aminoguanidine
Pioglitazone	8228	pioglitazone
Piperazine	28568	piperazine
Piperine	28821	piperine
Piperonyl butoxide	32687	piperonyl butoxide
Pirinixic acid	32509	pirinixic acid
Piroxicam	8249	piroxicam
Plicamycin	31856	mithramycin
Plumbagin	8273	plumbagin
Polyamine	60143	polyamine polymer
Polycyclic Aromatic Hydrocarbons	33848	polycyclic arene
Polyethylene glycol	46793	poly(ethylene glycol)
Polymyxin	59062	polymyxin
Polymyxin B	8309	polymyxin B1
Polypeptide	15841	polypeptide
Polyunsaturated fatty acid	26208	polyunsaturated fatty acid
Ponasterone A	28135	ponasterone A
Potassium	26216	potassium atom
Potassium chloride	32588	potassium chloride
Potassium iodide	8346	potassium iodide
POVPC	60319	1-O-palmitoyl-2-O-(5-oxovaleryl)-sn-glycero-3-phosphocholine
Pramipexole	8356	pramipexole
Prasterone	28689	dehydroepiandrosterone
Pravastatin	63618	pravastatin
Prazosin	8364	prazosin
Prednisolone	8378	prednisolone
Pregabalin	64356	pregabalin
Pregn-5-ene-3,20-dione	63837	pregn-5-ene-3,20-dione
pregn-5-ene-3,20-dione-17-ol	63843	17alpha-hydroxypregn-5-ene-3,20-dione
Pregnenolone	16581	pregnenolone
Pregnenolone carbonitrile	35591	pregnenolone 16alpha-carbonitrile
primary monoamine	32877	primary amine
pristanal	49189	pristanal
Pristanic acid	51340	pristanic acid
Pristanoyl-CoA	51341	pristanoyl-CoA
Probenecid	8426	probenecid
Probucol	8427	probucol
Procainamide	8428	procainamide
Progesterone	17026	progesterone
Progestins	59826	progestin
Proline	17203	L-proline
Promegestone	73390	promegestone
Propionic acid	30768	propionic acid
Propionyl-coenzyme A	15539	propionyl-CoA
Propofol	44915	propofol
Propranolol	8499	propranolol
Propylthiouracil	8502	6-propyl-2-thiouracil
Prostaglandin A1	15545	prostaglandin A1
Prostaglandin A2	27820	prostaglandin A2
Prostaglandin D2	15555	prostaglandin D2
Prostaglandin E3	28031	prostaglandin E3
Prostaglandin F1	28852	prostaglandin F1alpha
Prostaglandin F3alpha	36075	prostaglandin F3alpha
Prostaglandin G2	27647	prostaglandin G2
Prostaglandin H2	15554	prostaglandin H2
Prostaglandins	26333	prostaglandin
Prostratin	69818	prostratin
Proteasome inhibitor	52726	proteasome inhibitor
Proteoglycan	37396	proteoglycan
Protocatechuic acid	36062	3,4-dihydroxybenzoic acid
Proton	24636	proton
Pseudoisocyanine	37994	1,1'-diethyl-2,2'-cyanine
Psychosine	16874	psychosine
Puromycin	17939	puromycin
Puromycin aminonucleoside	42839	3'-amino-3'-deoxy-N(6),N(6)-dimethyladenosine
Putrescine	17148	putrescine
Pyocyanine	62220	pyocyanin
Pyrazole	14973	pyrazole
Pyrene	39106	pyrene
Pyridine	16227	pyridine
Pyridoxal phosphate	18405	pyridoxal 5'-phosphate
Pyridoxine	16709	pyridoxine
Pyrilamine	6762	mepyramine
